bowler,total_runs,ball,overs,economy_rate
Ravi Bishnoi,1861,1460,243.33333333333334,7.647945205479452
S Aravind,1057,788,131.33333333333334,8.048223350253807
S Badree,329,263,43.833333333333336,7.505703422053232
S Dhawan,72,49,8.166666666666666,8.816326530612246
S Dube,190,117,19.5,9.743589743589743
S Gopal,1358,1000,166.66666666666666,8.148
S Joseph,51,30,5.0,10.2
S Kaul,1772,1238,206.33333333333334,8.588045234248789
S Kaushik,304,210,35.0,8.685714285714285
S Ladda,225,141,23.5,9.574468085106384
S Lamichhane,297,211,35.166666666666664,8.445497630331754
S Midhun,29,13,2.1666666666666665,13.384615384615385
S Nadeem,1800,1444,240.66666666666666,7.4792243767313025
S Narwal,203,113,18.833333333333332,10.778761061946904
S Rana,18,16,2.6666666666666665,6.75
S Randiv,223,180,30.0,7.433333333333334
S Sandeep Warrier,257,176,29.333333333333332,8.761363636363637
S Sreesanth,1221,947,157.83333333333334,7.736008447729672
S Sriram,49,18,3.0,16.333333333333332
S Tyagi,304,220,36.666666666666664,8.290909090909091
S Vidyut,22,13,2.1666666666666665,10.153846153846155
SA Abbott,104,59,9.833333333333334,10.576271186440678
SA Yadav,8,6,1.0,8.0
SB Bangar,221,153,25.5,8.666666666666666
SB Jakati,1474,1101,183.5,8.032697547683924
SB Joshi,82,55,9.166666666666666,8.945454545454545
SB Styris,278,222,37.0,7.513513513513513
SB Wagh,147,108,18.0,8.166666666666666
SC Ganguly,370,280,46.666666666666664,7.928571428571429
SC Kuggeleijn,71,50,8.333333333333334,8.52
SD Chitnis,62,38,6.333333333333333,9.789473684210527
SE Bond,225,191,31.833333333333332,7.068062827225131
SE Rutherford,60,46,7.666666666666667,7.826086956521739
SH Johnson,155,99,16.5,9.393939393939394
SJ Srivastava,444,306,51.0,8.705882352941176
SK Raina,1139,930,155.0,7.348387096774194
SK Trivedi,1944,1557,259.5,7.491329479768786
SK Warne,1465,1223,203.83333333333334,7.187244480784955
SL Malinga,3486,2974,495.6666666666667,7.032952252858103
SM Boland,56,43,7.166666666666667,7.813953488372093
SM Curran,1924,1234,205.66666666666666,9.354943273905997
SM Harwood,74,67,11.166666666666666,6.6268656716417915
SM Pollock,307,280,46.666666666666664,6.578571428571429
SMSM Senanayake,211,195,32.5,6.492307692307692
SN Khan,6,2,0.3333333333333333,18.0
SN Thakur,2908,1979,329.8333333333333,8.816574027286508
SP Narine,4672,4146,691.0,6.7612156295224315
SPD Smith,5,2,0.3333333333333333,15.0
SR Tendulkar,59,37,6.166666666666667,9.567567567567567
SR Watson,2742,2137,356.1666666666667,7.698642957416939
SS Agarwal,42,24,4.0,10.5
SS Cottrell,177,131,21.833333333333332,8.106870229007635
SS Iyer,7,6,1.0,7.0
SS Mundhe,6,7,1.1666666666666667,5.142857142857142
SS Sarkar,34,25,4.166666666666667,8.16
SSB Magala,52,37,6.166666666666667,8.432432432432432
ST Jayasuriya,396,301,50.166666666666664,7.893687707641196
STR Binny,763,611,101.83333333333333,7.4926350245499185
SW Tait,668,534,89.0,7.50561797752809
SZ Mulani,57,33,5.5,10.363636363636363
Sachin Baby,8,10,1.6666666666666667,4.8
Sandeep Sharma,3758,2925,487.5,7.708717948717949
Shahbaz Ahmed,850,549,91.5,9.289617486338798
Shahid Afridi,237,185,30.833333333333332,7.686486486486487
Shakib Al Hasan,1864,1515,252.5,7.3821782178217825
Shashank Singh,25,19,3.1666666666666665,7.894736842105264
Shivam Mavi,958,687,114.5,8.366812227074236
Shivam Sharma,165,114,19.0,8.68421052631579
Shoaib Ahmed,154,103,17.166666666666668,8.970873786407767
Shoaib Akhtar,54,46,7.666666666666667,7.0434782608695645
Shoaib Malik,87,58,9.666666666666666,9.0
Sikandar Raza,146,88,14.666666666666666,9.954545454545455
Simarjeet Singh,265,193,32.166666666666664,8.238341968911918
Sohail Tanvir,275,265,44.166666666666664,6.226415094339623
Sumit Kumar,38,22,3.6666666666666665,10.363636363636363
Sunny Gupta,47,19,3.1666666666666665,14.842105263157896
Suyash Sharma,381,264,44.0,8.659090909090908
Swapnil Singh,241,165,27.5,8.763636363636364
T Henderson,41,36,6.0,6.833333333333333
T Natarajan,2001,1401,233.5,8.569593147751606
T Shamsi,185,120,20.0,9.25
T Stubbs,29,25,4.166666666666667,6.959999999999999
T Thushara,164,144,24.0,6.833333333333333
TA Boult,3286,2428,404.6666666666667,8.120263591433279
TG Southee,1774,1262,210.33333333333334,8.434231378763867
TK Curran,432,252,42.0,10.285714285714286
TL Suman,198,152,25.333333333333332,7.815789473684211
TM Dilshan,368,275,45.833333333333336,8.02909090909091
TM Head,113,58,9.666666666666666,11.689655172413794
TP Sudhindra,137,74,12.333333333333334,11.108108108108107
TS Mills,349,218,36.333333333333336,9.605504587155963
TU Deshpande,1275,831,138.5,9.205776173285198
Tejas Baroka,33,21,3.5,9.428571428571429
Tilak Varma,28,23,3.8333333333333335,7.304347826086956
UT Yadav,4442,3190,531.6666666666666,8.354858934169279
Umar Gul,198,153,25.5,7.764705882352941
Umran Malik,785,519,86.5,9.07514450867052
V Kaverappa,36,24,4.0,9.0
V Kohli,371,264,44.0,8.431818181818182
V Pratap Singh,300,211,35.166666666666664,8.530805687203792
V Sehwag,236,138,23.0,10.26086956521739
V Shankar,344,258,43.0,8.0
V Viyaskanth,90,60,10.0,9.0
VG Arora,598,418,69.66666666666667,8.583732057416267
VR Aaron,1527,1065,177.5,8.60281690140845
VR Iyer,145,84,14.0,10.357142857142858
VRV Singh,549,371,61.833333333333336,8.878706199460916
VS Malik,268,212,35.333333333333336,7.584905660377358
VS Yeligati,61,32,5.333333333333333,11.4375
VY Mahesh,511,359,59.833333333333336,8.540389972144846
Vijaykumar Vyshak,396,243,40.5,9.777777777777779
Vivrant Sharma,37,21,3.5,10.571428571428571
WA Mota,98,75,12.5,7.84
WD Parnell,968,758,126.33333333333333,7.6622691292875995
WG Jacks,100,55,9.166666666666666,10.90909090909091
WPUJC Vaas,364,288,48.0,7.583333333333333
Washington Sundar,1335,1064,177.33333333333334,7.5281954887218046
Y Gnaneswara Rao,7,6,1.0,7.0
Y Nagar,125,72,12.0,10.416666666666666
Y Prithvi Raj,57,33,5.5,10.363636363636363
Y Venugopal Rao,338,222,37.0,9.135135135135135
YA Abdulla,311,222,37.0,8.405405405405405
YBK Jaiswal,6,1,0.16666666666666666,36.0
YK Pathan,1443,1184,197.33333333333334,7.3125
YS Chahal,4681,3628,604.6666666666666,7.741455347298787
Yash Dayal,933,615,102.5,9.102439024390243
Yash Thakur,702,432,72.0,9.75
Yudhvir Singh,125,74,12.333333333333334,10.135135135135135
Yuvraj Singh,1091,882,147.0,7.421768707482993
Z Khan,2860,2276,379.3333333333333,7.539543057996485
